2016/08/11 22:07:33 version: 20160808
2016/08/11 22:07:33 listening on: [::]:838
2016/08/11 22:07:33 encryption: aes
2016/08/11 22:07:33 nodelay parameters: 1 20 2 1
2016/08/11 22:07:33 remote address: 104.224.154.234:5540
2016/08/11 22:07:33 sndwnd: 256 rcvwnd: 2048
2016/08/11 22:07:33 compression: true
2016/08/11 22:07:33 mtu: 1400
2016/08/11 22:07:33 datashard: 10 parityshard: 3
2016/08/11 22:07:33 acknodelay: false
2016/08/11 22:07:33 dscp: 46
2016/08/11 22:07:33 sockbuf: 4194304
2016/08/11 22:07:33 keepalive: 10
2016/08/11 22:07:33 conn: 1
2016/08/11 22:07:34 stream opened
2016/08/11 22:07:40 stream opened
2016/08/11 22:07:40 stream opened
2016/08/11 22:07:40 stream opened
2016/08/11 22:07:40 stream opened
2016/08/11 22:07:40 stream opened
2016/08/11 22:07:40 stream opened
2016/08/11 22:07:40 stream closed
2016/08/11 22:07:41 stream opened
2016/08/11 22:07:41 stream closed
2016/08/11 22:07:41 stream opened
2016/08/11 22:07:41 stream opened
2016/08/11 22:07:41 stream opened
2016/08/11 22:07:42 stream opened
2016/08/11 22:07:42 stream opened
2016/08/11 22:07:43 stream closed
2016/08/11 22:07:43 stream opened
2016/08/11 22:07:43 stream closed
2016/08/11 22:07:43 stream closed
2016/08/11 22:07:43 stream opened
2016/08/11 22:07:43 stream opened
2016/08/11 22:07:43 stream closed
2016/08/11 22:07:43 stream opened
2016/08/11 22:07:44 stream opened
2016/08/11 22:07:44 stream opened
2016/08/11 22:07:45 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
2016/08/11 22:07:47 stream closed
